year,overall,round,team,player,position,school,level
2022,23,1,Toronto Blue Jays,Brandon Barriera,P,American Heritage HS,HS
2022,24,1,Boston Red Sox,Mikey Romero,SS,Orange Lutheran HS,HS
2022,25,1,New York Yankees,Spencer Jones,OF,Vanderbilt University,College
2022,26,1,Chicago White Sox,Noah Schultz,P,Oswego East HS,HS
2022,27,1,Milwaukee Brewers,Eric Brown,SS,Coastal Carolina University,College
2022,28,1,Houston Astros,Drew Gilbert,OF,University of Tennessee,College
2022,29,1,Tampa Bay Rays,Xavier Isaac,1B,East Forsyth HS,HS
2022,30,1,San Francisco Giants,Reggie Crawford,TWP,University of Connecticut,College
2022,31,1,Colorado Rockies,Sterlin Thompson,OF,University of Florida,College
2022,32,1,Cincinnati Reds,Sal Stewart,3B,Westminster Christian School,HS
2022,33,1,Baltimore Orioles,Dylan Beavers,OF,"University of California, Berkeley",College
2022,34,1,Arizona Diamondbacks,Landon Sims,P,Mississippi State University,College
2022,35,1,Atlanta Braves,JR Ritchie,P,Bainbridge HS,HS
2022,36,1,Pittsburgh Pirates,Tom Harrington,P,Campbell University,College
2022,37,1,Cleveland Guardians,Justin Campbell,P,Oklahoma State University,College
2022,38,1,Colorado Rockies,Jordan Beck,OF,University of Tennessee,College
2022,39,1,San Diego Padres,Robby Snelling,P,Robert McQueen HS,HS
2023,1,1,Pittsburgh Pirates,Paul Skenes,P,Louisiana State University,College
2023,2,1,Washington Nationals,Dylan Crews,OF,Louisiana State University,College
2023,3,1,Detroit Tigers,Max Clark,OF,Franklin Community HS,HS
2023,4,1,Texas Rangers,Wyatt Langford,OF,University of Florida,College
2023,5,1,Minnesota Twins,Walker Jenkins,OF,South Brunswick HS,HS
2023,6,1,Athletics,Jacob Wilson,SS,Grand Canyon University,College
2023,7,1,Cincinnati Reds,Rhett Lowder,P,Wake Forest University,College
2023,8,1,Kansas City Royals,Blake Mitchell,C,Sinton HS,HS
2023,9,1,Colorado Rockies,Chase Dollander,P,University of Tennessee,College
2023,10,1,Miami Marlins,Noble Meyer,P,Jesuit HS,HS
2023,11,1,Los Angeles Angels,Nolan Schanuel,1B,Florida Atlantic University,College
2023,12,1,Arizona Diamondbacks,Tommy Troy,SS,Stanford University,College
2023,13,1,Chicago Cubs,Matt Shaw,SS,University of Maryland,College
2023,14,1,Boston Red Sox,Kyle Teel,C,University of Virginia,College
2023,15,1,Chicago White Sox,Jacob Gonzalez,SS,University of Mississippi,College
2023,16,1,San Francisco Giants,Bryce Eldridge,TWP,James Madison HS,HS
2023,17,1,Baltimore Orioles,Enrique Bradfield,OF,Vanderbilt University,College
2023,18,1,Milwaukee Brewers,Brock Wilken,3B,Wake Forest University,College
2023,19,1,Tampa Bay Rays,Brayden Taylor,SS,Texas Christian University,College
2023,20,1,Toronto Blue Jays,Arjun Nimmala,SS,Strawberry Crest HS,HS
2023,21,1,St. Louis Cardinals,Chase Davis,OF,University of Arizona,College
2023,22,1,Seattle Mariners,Colt Emerson,SS,John Glenn HS,HS
2023,23,1,Cleveland Guardians,Ralphy Velazquez,C,Huntington Beach HS,HS
2023,24,1,Atlanta Braves,Hurston Waldrep,P,University of Florida,College
2023,25,1,San Diego Padres,Dillon Head,OF,Homewood-Flossmoor Community HS,HS
2023,26,1,New York Yankees,George Lombard Jr.,SS,Gulliver Preparatory School,HS
2023,27,1,Philadelphia Phillies,Aidan Miller,SS,J. W. Mitchell HS,HS
